TSNE1,TSNE2,label
11.1675415,22.054205,control
2.6604352,24.356428,control
10.633501,12.464876,control
-17.650566,14.429876,control
-6.351088,26.39376,control
-1.3501247,31.336367,control
-9.176127,15.272849,control
8.465005,21.461504,control
7.176299,28.886463,control
-1.9306037,26.69502,control
-1.8924333,23.392311,control
-2.7782602,27.109526,control
2.646577,11.26339,control
8.362307,8.376244,control
7.382897,18.17199,control
-1.9340551,21.242338,control
-15.911602,19.925278,control
11.381346,18.951002,control
-2.144184,28.222029,control
1.9503003,16.829515,control
-1.8305877,15.125234,control
-1.3632213,23.983675,control
-0.042636927,16.875345,control
6.5704064,27.726078,control
-2.1653268,23.736206,control
4.1970143,25.838753,control
15.44392,24.35314,control
22.989977,19.61207,control
-4.28386,29.174635,control
-6.9465485,12.418941,control
-5.9256186,19.155624,control
10.701604,19.682365,control
9.212564,33.903057,control
11.368193,12.132726,control
20.415895,22.627779,control
25.119328,13.07645,control
10.185716,18.555573,control
-10.760913,20.5729,control
-6.1657224,18.679424,control
9.765652,20.640547,control
14.840097,7.7979693,control
9.838793,12.510229,control
11.538605,18.301334,control
17.179361,8.201518,control
-2.0137448,18.996859,control
1.0948778,23.524252,control
-4.7655363,19.509922,control
1.5285268,30.284685,control
10.624712,19.393864,control
-1.8335389,24.710238,control
11.954117,12.285243,control
6.260723,27.964106,control
-12.139911,20.556509,control
-1.6448139,17.760399,control
-5.479931,26.472897,control
5.964056,21.896072,control
-1.3693851,30.116274,control
6.896054,25.989946,control
-6.89263,16.255184,control
7.2624607,20.49272,control
-11.884755,30.574562,control
3.374963,25.062244,control
5.287007,23.852869,control
12.324222,9.797183,control
2.522254,12.75174,control
-1.5479304,15.319544,control
-1.9474291,15.174684,control
5.664252,22.416418,control
-9.266099,22.545547,control
-1.6743008,21.481316,control
9.201888,19.934458,control
8.781252,24.653711,control
-6.892098,22.473085,control
20.18654,10.7808695,control
-1.693147,15.240892,control
-5.1794167,22.17982,control
14.021088,17.026041,control
14.036268,18.270243,control
-3.6326282,26.756489,control
-0.41729054,22.108536,control
-4.474821,21.306067,control
-4.077799,10.150693,control
-2.0368986,14.663561,control
7.5660653,22.107178,control
12.577164,16.23089,control
14.816555,11.689198,control
-11.961519,15.779171,control
-9.923864,19.136456,control
0.28551722,22.336975,control
7.6899633,22.810371,control
-9.645497,7.144641,control
-5.9750414,25.001122,control
-0.49144804,20.01123,control
-12.745254,12.421396,control
3.0052497,29.059921,control
6.467041,16.559847,control
6.123564,25.807451,control
-8.85282,13.616394,control
-10.777614,14.89758,control
-9.08062,23.330727,control
-3.0459151,26.007788,control
-5.867614,11.305187,control
-5.6902585,9.445638,control
10.359584,19.999039,control
-4.563029,8.642641,control
8.990704,19.43154,control
-9.664314,16.597046,control
7.404564,21.310156,control
-3.929289,21.097189,control
-1.2605824,18.284567,control
-3.6625473,20.46482,control
-5.603589,21.898205,control
-6.597817,16.864779,control
-4.286714,26.689829,control
-14.3829155,14.562039,control
-7.7711873,19.119312,control
-10.497939,27.48855,control
9.254184,22.511688,control
-11.079905,18.134647,control
-11.454249,18.492916,control
-6.567086,17.892675,control
-1.6312631,22.095423,control
-3.1725843,30.866764,control
-17.300053,23.498991,control
-10.740428,12.964569,control
-15.086581,21.72094,control
-8.398185,17.75604,control
-9.134756,25.571226,control
-1.6120001,22.610764,control
0.8713641,30.36323,control
2.028698,32.10524,control
0.14266019,28.470722,control
-10.180658,19.217657,control
-9.803685,20.606155,control
1.06994,18.418777,control
6.931007,18.740116,control
0.5323094,22.900824,control
0.38513672,8.334716,control
-9.468523,21.482195,control
23.855541,16.892134,control
20.210093,11.562613,control
-12.815344,27.357742,control
-11.194319,21.177694,control
-14.469753,21.20452,control
-1.8880647,31.592382,control
-6.4313207,20.449083,control
9.091074,6.5491223,control
3.389452,22.084236,control
4.3820653,31.20653,control
-1.1943682,28.159382,control
-5.826616,19.013414,control
0.770572,8.395234,control
-5.870565,19.145884,control
-6.7319927,29.173203,control
1.0598856,18.50288,control
6.287209,8.195427,control
-7.836828,15.6831,control
-11.025371,14.653911,control
-6.529595,15.114147,control
-2.4414966,25.363867,control
-4.0860863,31.970663,control
10.218896,29.385965,control
-6.7352786,29.904015,control
22.025621,20.361128,control
25.809383,11.593181,control
-6.2498555,19.117128,control
-10.066227,16.024675,control
-6.7839193,18.49001,control
-13.477081,21.902782,control
-1.8530346,22.95583,control
7.13242,28.02874,control
7.1140313,20.041468,control
-7.369225,9.600106,control
-12.171901,18.699532,control
-8.402639,7.8003798,control
-8.609077,19.754616,control
3.1843357,10.878542,control
10.379086,18.724426,control
-8.255183,11.811513,control
-4.7108984,8.030696,control
-9.645679,20.039436,control
-8.265805,11.848371,control
-6.9471493,17.719229,control
4.912988,21.88174,control
-3.2799382,21.656471,control
-8.686974,10.095005,control
-10.805533,9.25826,control
-7.142137,14.356258,control
24.1153,3.5176933,control
29.887934,15.334244,control
6.575303,25.508257,control
-8.075994,22.211145,control
7.3894005,26.849617,control
5.463324,25.827934,control
-10.448752,12.5,control
-10.091394,14.815453,control
-6.7203894,8.359489,control
-8.713246,17.600803,control
-7.234508,22.346346,control
9.59754,19.027056,control
27.298512,6.3835917,control
1.7620018,18.070723,control
-4.084672,15.803021,control
-2.3171697,20.272259,control
-8.917499,16.86779,control
-1.4479547,21.920437,control
-4.6617975,19.817095,control
3.403532,14.702024,control
-9.391144,14.549711,control
9.066021,29.043264,control
13.447041,6.211392,control
8.7928,3.3194122,control
14.378584,9.555637,control
3.6169035,22.649883,control
0.999111,20.899902,control
-0.6857238,20.650717,control
0.27254352,19.50765,control
-7.714809,21.989637,control
8.516423,25.44632,control
7.1094346,25.732706,control
-9.91958,20.123415,control
1.3310275,17.486454,control
8.51478,8.02907,control
1.5131594,16.991554,control
15.445703,5.844037,control
8.969896,27.123514,control
